Date,Close,High,Low,Open,Volume,Short_MA,Long_MA,Signal
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400,,,Hold
2020-01-03,71.63063049316406,72.3892495107853,71.40665858931894,71.56319785492231,146322800,,,Hold
2020-01-06,72.20142364501953,72.23995764322866,70.5035611498287,70.75402846338375,118387200,,,Hold
2020-01-07,71.86186218261719,72.46634548952974,71.64270418623039,72.2110641639823,108872000,,,Hold
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200,,,Hold
2020-01-09,74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400,,,Hold
2020-01-10,74.73735046386719,75.30090350340339,74.23642341157489,74.80237977206271,140644800,,,Hold
2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000,,,Hold
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400,,,Hold
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600,,,Hold
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200,,,Hold
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,,,Hold
2020-01-21,76.24018859863281,76.83022259346987,76.10291259365572,76.38950326386008,110843200,,,Hold
2020-01-22,76.51232147216797,77.0638214037391,76.41839347401398,76.72424743670398,101832400,,,Hold
2020-01-23,76.88076782226562,76.96023911310208,76.01858552983758,76.56527863051073,104472000,,,Hold
2020-01-24,76.65922546386719,77.86819933392093,76.46896614550444,77.12644008388187,146537600,,,Hold
2020-01-27,74.40502166748047,75.08416206919466,73.42483402812097,74.67234156024762,161940000,,,Hold
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,,,Hold
2020-01-29,78.11144256591797,78.95676515736241,77.39858197163568,78.13793790519387,216229200,,,Hold
2020-01-30,77.99825286865234,78.05123619869995,76.7651942962083,77.19628560206807,126743200,75.14835739135742,,Hold
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400,75.25865783691407,,Hold
2020-02-03,74.33516693115234,75.49838164593486,72.78420907837199,73.285136141255,173788400,75.39388465881348,,Hold
2020-02-04,76.78927612304688,76.97953543976107,75.53213292898627,75.9367288800473,136616400,75.62327728271484,,Hold
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,75.90095558166504,,Hold
2020-02-06,78.32096099853516,78.32337167005116,77.12884718583062,77.6851684350144,105425600,76.16611251831054,,Hold
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,76.30049095153808,,Hold
2020-02-10,77.62330627441406,77.62330627441406,75.76450341427329,75.84416334192943,109348800,76.44478874206543,,Hold
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,76.4858325958252,,Hold
2020-02-12,78.98722839355469,78.9920538114317,77.60398368209574,77.60398368209574,113730400,76.67002754211425,,Hold
